timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1744696191572,2545,HTTP Request,200,OK,Thread Group 1-88,text,true,,52598,129,23,23,https://www.automationexercise.com/,2463,0,0
1744696191601,2542,HTTP Request,200,OK,Thread Group 1-82,text,true,,52598,129,22,22,https://www.automationexercise.com/,2439,0,0
1744696191549,2667,HTTP Request,200,OK,Thread Group 1-63,text,true,,52598,129,21,21,https://www.automationexercise.com/,2579,0,0
1744696191667,2585,HTTP Request,200,OK,Thread Group 1-86,text,true,,52598,129,20,20,https://www.automationexercise.com/,2483,0,0
1744696191914,2350,HTTP Request,200,OK,Thread Group 1-81,text,true,,52598,129,19,19,https://www.automationexercise.com/,2265,0,0
1744696191669,2597,HTTP Request,200,OK,Thread Group 1-87,text,true,,52598,129,18,18,https://www.automationexercise.com/,2504,0,0
1744696192112,2191,HTTP Request,200,OK,Thread Group 1-100,text,true,,52606,129,17,17,https://www.automationexercise.com/,2117,0,0
1744696188794,5580,HTTP Request,200,OK,Thread Group 1-91,text,true,,52605,129,16,16,https://www.automationexercise.com/,5528,0,1233
1744696192076,2335,HTTP Request,200,OK,Thread Group 1-89,text,true,,52598,129,16,16,https://www.automationexercise.com/,2255,0,0
1744696192137,2331,HTTP Request,200,OK,Thread Group 1-56,text,true,,52598,129,15,15,https://www.automationexercise.com/,2237,0,0
1744696192192,2425,HTTP Request,200,OK,Thread Group 1-83,text,true,,52598,129,14,14,https://www.automationexercise.com/,2333,0,0
1744696192483,2205,HTTP Request,200,OK,Thread Group 1-95,text,true,,52606,129,13,13,https://www.automationexercise.com/,2040,0,0
1744696192548,2151,HTTP Request,200,OK,Thread Group 1-80,text,true,,52598,129,12,12,https://www.automationexercise.com/,2013,0,0
1744696192328,2377,HTTP Request,200,OK,Thread Group 1-99,text,true,,52606,129,11,11,https://www.automationexercise.com/,2235,0,0
1744696192280,2433,HTTP Request,200,OK,Thread Group 1-84,text,true,,52605,129,10,10,https://www.automationexercise.com/,2311,0,0
